"STATISTIC","Statistic Label","TLIST(A1)","Year","C01912V02351","Type of Dwelling","C02196V04140","Region and County","UNIT","VALUE"
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE061","Dublin","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06102","Dublin City","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06103","South Dublin","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06104","Fingal","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06105","Dun Laoghaire - Rathdown","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE062","Mid-East","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06206","Kildare","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06210","Louth","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06211","Meath","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06215","Wicklow","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE063","Midland","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06308","Laois","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06309","Longford","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06312","Offaly","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","11","Houses","IE06313","Westmeath","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","-","State","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE04","Northern and Western","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE041","Border","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE04128","Leitrim","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE04131","Sligo","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE04132","Cavan","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE04133","Donegal","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE04134","Monaghan","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE042","West","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE04225","Galway","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE04226","Galway City","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE04229","Mayo","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE04230","Roscommon","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE05","Southern","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE051","Mid-West","Number",""
"BHA12C01","Planning Permissions Granted","1976","1976","105","Multi development houses","IE05116","Clare","Number",""
